time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,cv/rollout_cv_value,time/total_timesteps,cv/rollout_cv_count,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss
945,4276,50.0,226,19583.635202646255,213800,29045,-5.45363945,203750,1.5975900602340698,0.001,0.001193429883569479
946,4280,50.0,226,19593.90213509649,214000,29062,-5.47368222,203950,1.5885652637481689,0.001,0.001211461015045643
947,4284,50.0,226,19598.190517894924,214200,29072,-5.4435607300000015,204150,1.5793452453613281,0.001,0.0013780745142139494
948,4288,50.0,226,19603.747377742082,214400,29080,-5.436867309999999,204350,1.5760042452812195,0.001,0.0016500541567802428
949,4292,50.0,225,19616.16816458851,214600,29097,-5.476660409999999,204550,1.5888835716247558,0.001,0.0016228889347985388
950,4296,50.0,225,19625.082712817937,214800,29108,-5.46477451,204750,1.5719834423065187,0.001,0.0013881168235093356
951,4300,50.0,225,19633.65871946886,215000,29123,-5.368081629999999,204950,1.5576437664031983,0.001,0.0017598533490672708
952,4304,50.0,225,19641.003877848387,215200,29134,-5.3060179100000004,205150,1.5902331018447875,0.001,0.0014979224361013621
953,4308,50.0,225,19656.071954645216,215400,29152,-5.336138960000002,205350,1.556068389415741,0.001,0.0013388052652589977
954,4312,50.0,225,19668.94029725343,215600,29171,-5.39844579,205550,1.5982859206199647,0.001,0.0013749462843406946
954,4316,50.0,226,19683.730714410543,215800,29190,-5.4140307299999995,205750,1.5663333868980407,0.001,0.0014343290275428443
955,4320,50.0,226,19698.07636511326,216000,29208,-5.430252829999998,205950,1.597271146774292,0.001,0.0016452911461237818
956,4324,50.0,225,19702.62339394167,216200,29217,-5.343260699999999,206150,1.5644519448280334,0.001,0.0018664992589037866
957,4328,50.0,225,19718.83620948717,216400,29240,-5.3461427200000005,206350,1.5823593425750733,0.001,0.0012898837099783122
958,4332,50.0,225,19726.287348743528,216600,29254,-5.32512307,206550,1.573912432193756,0.001,0.0016398337949067353
959,4336,50.0,225,19731.505655299872,216800,29262,-5.273888520000001,206750,1.559252028465271,0.001,0.0013088289916049689
960,4340,50.0,225,19743.656814541668,217000,29280,-5.297828099999999,206950,1.60574458360672,0.001,0.0020378833671566097
961,4344,50.0,225,19761.0713907443,217200,29302,-5.31200111,207150,1.5840958380699157,0.001,0.0021221975260414185
962,4348,50.0,225,19779.44480484724,217400,29326,-5.29501275,207350,1.5665586709976196,0.001,0.001867588753812015
963,4352,50.0,225,19793.88821351528,217600,29350,-5.328951529999999,207550,1.5889502739906312,0.001,0.001780260365922004
964,4356,50.0,225,19806.07782528177,217800,29371,-5.3338560500000005,207750,1.5605146646499635,0.001,0.0016156086476985364
965,4360,50.0,225,19817.210953120142,218000,29388,-5.258703959999999,207950,1.5660920310020447,0.001,0.0013720881170593202
966,4364,50.0,225,19822.19822564721,218200,29400,-5.26717889,208150,1.5512253546714783,0.001,0.0012898658227641136
967,4368,50.0,225,19830.022802401334,218400,29411,-5.201945089999999,208350,1.589635145664215,0.001,0.0017714512487873434
968,4372,50.0,225,19843.807905148715,218600,29429,-5.154522890000001,208550,1.5688641881942749,0.001,0.001541266597341746
969,4376,50.0,225,19850.146887741983,218800,29441,-5.1422856,208750,1.558411021232605,0.001,0.0011009446252137423
970,4380,50.0,225,19861.956351689994,219000,29457,-5.11005083,208950,1.5865929841995239,0.001,0.0016619709960650653
971,4384,50.0,225,19881.020976055413,219200,29480,-5.17527628,209150,1.5721500372886659,0.001,0.0014718667243141682
972,4388,50.0,225,19893.766105305403,219400,29496,-5.25584189,209350,1.6008895206451417,0.001,0.0014136995258741082
972,4392,50.0,225,19903.40530396998,219600,29510,-5.213029799999999,209550,1.5444292879104615,0.001,0.001924854356329888
973,4396,50.0,225,19908.269814901054,219800,29521,-5.19031576,209750,1.58491619348526,0.001,0.0011588009109254926
975,4400,50.0,225,19921.6600972116,220000,29540,-5.227210030000001,209950,1.5803553891181945,0.001,0.001310922233387828
976,4404,50.0,225,19932.1534746252,220200,29556,-5.25372884,210150,1.5528376722335815,0.001,0.0011557695176452399
977,4408,50.0,225,19952.032928366214,220400,29581,-5.30259899,210350,1.5616144824028015,0.001,0.0012512177706230432
978,4412,50.0,225,19966.330708891153,220600,29604,-5.33150077,210550,1.5836007237434386,0.001,0.0014659164391923696
978,4416,50.0,225,19980.366300355643,220800,29620,-5.275405419999999,210750,1.5811041855812074,0.001,0.0014550304948352276
980,4420,50.0,225,19987.376163046807,221000,29631,-5.21107402,210950,1.5921027517318727,0.001,0.001444476026808843
