time/total_timesteps,cv/rollout_cv_value,cv/rollout_cv_count,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
234400,22626.072426736355,30314,4688,-5.3448443900000004,1089,215,50.0,1.3849541974067687,0.001,224350,0.0014115127932745964
234600,22631.786253482103,30323,4692,-5.248234440000001,1090,215,50.0,1.3669233989715577,0.001,224550,0.0012376827513799072
234800,22637.368334580213,30336,4696,-5.19861314,1091,215,50.0,1.3775799894332885,0.001,224750,0.0010020366683602332
235000,22650.223815541714,30348,4700,-5.13662566,1092,215,50.0,1.3729561853408814,0.001,224950,0.0009865688811987639
235200,22666.605671595782,30369,4704,-5.130565660000001,1093,215,50.0,1.3717603039741517,0.001,225150,0.0010317330854013563
235400,22676.596061572433,30383,4708,-5.135084230000001,1094,215,50.0,1.378481695652008,0.001,225350,0.0010438125196378678
235600,22701.25110401213,30411,4712,-5.10675428,1095,215,50.0,1.3640051507949829,0.001,225550,0.0012587671703658998
235800,22715.779252529144,30427,4716,-5.12473438,1096,215,50.0,1.3678330326080321,0.001,225750,0.000991957251681015
236000,22727.545499280095,30443,4720,-5.102298379999999,1097,215,50.0,1.379547154903412,0.001,225950,0.00125032962532714
236200,22742.048066135496,30462,4724,-5.082439470000001,1098,215,50.0,1.3656125664710999,0.001,226150,0.002444654272403568
236400,22755.0215806216,30478,4728,-5.07151523,1098,215,50.0,1.3613420701026917,0.001,226350,0.0009108981990721077
236600,22774.154956188053,30502,4732,-5.045171869999999,1099,215,50.0,1.362501721382141,0.001,226550,0.002224319331580773
236800,22795.111220739782,30524,4736,-5.068090160000001,1100,215,50.0,1.35864155292511,0.001,226750,0.0008049322658916935
237000,22800.321737788618,30533,4740,-5.025308910000001,1101,215,50.0,1.4001543307304383,0.001,226950,0.0009027911920566112
237200,22824.79124075547,30560,4744,-5.093529220000001,1102,215,50.0,1.3519280409812928,0.001,227150,0.0007703654037322849
237400,22844.3636736162,30582,4748,-5.089434270000001,1103,215,50.0,1.3640667390823364,0.001,227350,0.0008310562081169337
237600,22860.824354082346,30601,4752,-5.10327413,1104,215,50.0,1.3711513733863832,0.001,227550,0.0015631055959966034
237800,22880.552220597863,30621,4756,-5.06899108,1105,215,50.0,1.359193470478058,0.001,227750,0.0008676319028018042
238000,22895.74096057564,30642,4760,-5.06204043,1106,215,50.0,1.3584591197967528,0.001,227950,0.0009918508992996066
238200,22915.68127956614,30667,4764,-5.14987299,1107,215,50.0,1.3506934666633605,0.001,228150,0.0010338302818126976
238400,22934.320083282888,30685,4768,-5.15841715,1108,215,50.0,1.3712850308418274,0.001,228350,0.0012627025472465902
238600,22954.346736177802,30709,4772,-5.204036650000001,1109,215,50.0,1.3787287330627442,0.001,228550,0.0009440004325006157
238800,22974.244736675173,30732,4776,-5.27500013,1110,215,50.0,1.3618314909934996,0.001,228750,0.0010054105694871395
239000,22993.03828945756,30755,4780,-5.3106998999999995,1111,215,50.0,1.3704708766937257,0.001,228950,0.0008706932625500485
239200,23003.86135817319,30773,4784,-5.292544019999998,1112,215,50.0,1.3480291318893434,0.001,229150,0.0010358379990793765
